,image,reds,greens,blues,blacks
109,clean4769.png,129635,341,857,214767
110,clean8344.png,164701,5680,2633,172586
111,clean2745.png,87325,178,0,258097
112,clean2354.png,38722,34037,9883,262958
113,clean2775.png,17769,0,0,327831
114,clean1956.png,12208,25920,34859,272613
115,clean5126.png,74854,0,0,270746
116,clean0063.png,57686,0,0,287914
117,clean2148.png,134070,2484,0,209046
118,clean3363.png,0,6132,0,339468
119,clean5109.png,36125,14544,1712,293219
120,clean9661.png,89894,17137,16951,221618
121,clean0378.png,28355,12712,5158,299375
122,clean9605.png,61522,3666,0,280412
123,clean5039.png,52882,1091,0,291627
124,clean2910.png,3371,7955,0,334274
125,clean7916.png,23774,5169,0,316657
126,clean6016.png,40518,10295,2029,292758
127,clean5286.png,125619,6014,0,213967
128,clean5923.png,98,12375,2281,330846
129,clean0816.png,63852,6172,0,275576
130,clean7857.png,69177,8531,754,267138
131,clean2104.png,98618,3882,554,242546
132,clean3694.png,102348,0,584,242668
133,clean3211.png,63307,6058,277,275958
134,clean0787.png,61332,1455,233,282580
135,clean5196.png,143446,4526,4347,193281
136,clean5945.png,12197,893,1943,330567
137,clean6145.png,3316,5942,532,335810
138,clean5622.png,77278,3742,418,264162
139,clean9671.png,23709,0,817,321074
140,clean4326.png,102364,10706,1284,231246
141,clean4158.png,59628,6698,15138,264136
142,clean9662.png,35387,27279,46060,236874
143,clean3878.png,102552,6465,0,236583
144,clean1012.png,108330,7582,496,229192
145,clean3916.png,61,9077,0,336462
146,clean6194.png,13906,0,0,331694
147,clean9383.png,13044,18334,405,313817
148,clean9036.png,164494,1318,5559,174229
149,clean9285.png,98744,4471,1010,241375
150,clean6370.png,44251,2927,522,297900
151,clean4596.png,51847,6771,1238,285744
152,clean9409.png,129114,5941,23941,186604
153,clean6490.png,128821,8329,807,207643
154,clean0253.png,16074,17794,0,311732
155,clean6070.png,99999,3306,698,241597
156,clean4039.png,66022,10986,615,267977
157,clean9187.png,147281,4077,548,193694
158,clean7503.png,7887,7849,0,329864
159,clean5866.png,114057,2556,896,228091
160,clean6250.png,90395,0,0,255205
161,clean2338.png,74587,0,472,270541
162,clean2017.png,26268,9838,0,309494
163,clean2924.png,171180,3429,20465,150526
164,clean9179.png,1028,0,230,344342
165,clean0511.png,99838,21872,15001,208889
166,clean8052.png,36131,2169,0,307300
167,clean5152.png,122692,22603,25050,175255
168,clean3331.png,59240,11989,5602,268769
169,clean1850.png,32487,19482,214,293417
170,clean8964.png,88367,11917,17686,227630
171,clean2397.png,77888,1106,475,266131
172,clean6761.png,33108,0,621,311871
173,clean1699.png,100557,11185,9099,224759
174,clean9438.png,86742,3872,0,254986
175,clean4089.png,28205,15923,2507,298965
176,clean0785.png,44246,6539,223,294592
177,clean8490.png,69947,635,3660,271358
178,clean8199.png,14555,11119,2215,317711
179,clean8115.png,44845,20641,40684,239430
180,clean2998.png,123884,0,0,221716
181,clean3473.png,73051,3431,0,269118
182,clean7059.png,108338,0,0,237262
183,clean0423.png,21468,17386,490,306256
184,clean5488.png,143315,6585,13323,182377
185,clean2547.png,78057,14565,2397,250581
186,clean6323.png,124722,2071,0,218807
187,clean1571.png,101752,21455,15025,207368
188,clean8641.png,3167,14895,0,327538
189,clean1659.png,105772,5305,461,234062
190,clean8082.png,51735,7320,6368,280177
191,clean0396.png,7045,0,0,338555
192,clean0629.png,121828,0,0,223772
193,clean3219.png,53948,2297,0,289355
194,clean7369.png,117963,3328,2175,222134
195,clean0842.png,72882,4584,50966,217168
196,clean4007.png,84931,2338,0,258331
197,clean3379.png,77970,485,1092,266053
198,clean6058.png,62287,1212,2358,279743
199,clean3348.png,86444,2464,1734,254958
200,clean4932.png,81538,0,0,264062
201,clean1047.png,122136,0,0,223464
202,clean2455.png,60604,12930,5994,266072
203,clean8615.png,98506,10276,0,236818
204,clean6290.png,93310,9992,0,242298
205,clean7667.png,45766,3815,1531,294488
206,clean5725.png,61385,9977,7361,266877
207,clean0974.png,75694,1687,0,268219
208,clean6390.png,3523,71477,9867,260733
209,clean7368.png,91127,2950,1189,250334
210,clean0722.png,62622,4648,0,278330
211,clean5718.png,27460,2206,2571,313363
212,clean1133.png,154939,1289,3633,185739
213,clean8104.png,69632,1213,5956,268799
214,clean2019.png,50481,18618,3943,272558
215,clean1970.png,31412,0,0,314188
216,clean0598.png,81700,8560,11557,243783
217,clean5353.png,139042,0,0,206558
218,clean3663.png,60086,22317,4363,258834
219,clean7068.png,34075,5037,390,306098
220,clean2592.png,63927,5439,389,275845
221,clean4753.png,23524,27889,6458,287729
222,clean3692.png,153113,1979,3584,186924
223,clean8977.png,150348,0,0,195252
224,clean3972.png,2695,9628,40649,292628
225,clean8400.png,56053,7528,32399,249620
226,clean1795.png,4975,29143,109056,202426
227,clean5876.png,43203,0,0,302397
228,clean4110.png,70751,1886,0,272963
229,clean0552.png,61905,12606,7463,263626
230,clean8830.png,45006,13932,11429,275233
231,clean7177.png,82905,0,0,262695
232,clean1343.png,109144,9069,0,227387
233,clean4078.png,104727,7173,962,232738
234,clean1745.png,7580,2135,0,335885
235,clean3497.png,131868,10668,53812,149252
236,clean1796.png,6072,2099,0,337429
237,clean2240.png,62202,0,2187,281211
238,clean5026.png,64369,9903,1967,269361
239,clean8263.png,155948,838,3453,185361
240,clean2100.png,152379,4143,4070,185008
241,clean3683.png,124402,2363,0,218835
242,clean7492.png,151573,806,207,193014
243,clean3902.png,109127,407,0,236066
244,clean5772.png,25953,10776,0,308871
245,clean2555.png,105312,0,0,240288
246,clean8381.png,82892,4544,1187,256977
247,clean0266.png,22144,27091,3983,292382
248,clean1366.png,21819,0,2099,321682
249,clean6468.png,5315,4517,0,335768
250,clean6293.png,83587,299,107087,154627
251,clean6563.png,38907,0,1361,305332
252,clean5453.png,22174,30003,16620,276803
253,clean1327.png,149741,0,0,195859
254,clean1631.png,50927,0,7910,286763
255,clean7494.png,24252,26055,29086,266207
256,clean3990.png,110031,1682,864,233023
257,clean9541.png,27672,3632,5492,308804
258,clean7925.png,55599,6931,48517,234553
259,clean0739.png,120258,298,2495,222549
260,clean1154.png,154056,888,2473,188183
261,clean7663.png,70321,23662,10820,240797
262,clean0673.png,50800,1339,1744,291717
263,clean1448.png,120051,0,0,225549
264,clean7239.png,54486,15364,3466,272284
265,clean7639.png,21809,3084,449,320258
266,clean1121.png,113829,8523,2483,220765
267,clean2651.png,134402,9792,8458,192948
268,clean8307.png,117691,9615,0,218294
269,clean8698.png,90890,1991,3906,248813
270,clean6440.png,39143,16538,3319,286600
271,clean4266.png,31795,0,486,313319
272,clean4331.png,96798,0,787,248015
273,clean9723.png,17514,5299,2103,320684
274,clean9483.png,82307,9351,15211,238731
275,clean1481.png,17091,0,2666,325843
276,clean4317.png,105908,26374,2912,210406
277,clean0550.png,54938,6877,458,283327
278,clean7371.png,57234,0,934,287432
279,clean0817.png,108500,904,0,236196
280,clean4217.png,109977,2444,4162,229017
281,clean4785.png,61985,19836,2907,260872
282,clean3919.png,0,24962,59734,260904
283,clean6925.png,3288,6145,36634,299533
284,clean4153.png,62501,0,0,283099
285,clean4085.png,34905,9253,0,301442
286,clean1698.png,7429,41645,37421,259105
287,clean2728.png,17799,22441,6356,299004
288,clean2116.png,116934,6409,223,222034
289,clean3980.png,102564,11593,1822,229621
290,clean0624.png,95023,6790,0,243787
291,clean8359.png,45572,15613,6247,278168
292,clean8847.png,79965,0,1063,264572
293,clean0771.png,85831,4106,931,254732
294,clean8410.png,101210,12025,10118,222247
295,clean0826.png,109524,4159,36311,195606
296,clean5075.png,145532,11973,6782,181313
297,clean4783.png,142039,4169,0,199392
298,clean3532.png,76272,10478,5217,253633
299,clean7975.png,22964,23351,11552,287733
300,clean5007.png,149325,352,663,195260
301,clean8924.png,76974,6221,1131,261274
302,clean6806.png,168006,873,297,176424
303,clean9629.png,51469,18255,159271,116605
304,clean7483.png,59888,7894,3056,274762
305,clean0836.png,107299,1087,355,236859
306,clean1409.png,34322,39196,11095,260987
307,clean3095.png,108358,10647,32071,194524
308,clean5634.png,91914,9619,2325,241742
309,clean5435.png,103493,1638,3792,236677
310,clean6431.png,149935,1797,395,193473
311,clean7650.png,110072,1638,207,233683
312,clean7841.png,58746,11993,2521,272340
313,clean5495.png,130454,12216,6257,196673
314,clean9665.png,111289,3883,1178,229250
315,clean0672.png,11715,0,0,333885
316,clean2246.png,83331,17506,66042,178721
317,clean4879.png,79806,6624,0,259170
318,clean0218.png,79477,0,3957,262166
319,clean0305.png,49395,28009,82815,185381
320,clean6989.png,7135,6660,0,331805
321,clean1653.png,160966,2817,1403,180414
322,clean0685.png,136530,1086,433,207551
323,clean4106.png,37209,1284,328,306779
324,clean8272.png,33471,0,445,311684
325,clean2639.png,176,37149,3184,305091
326,clean7646.png,0,6311,1612,337677
327,clean2734.png,53693,0,1578,290329
328,clean9637.png,93707,7167,1224,243502
329,clean4913.png,3551,3651,0,338398
330,clean3995.png,140536,5299,8923,190842
331,clean5261.png,4664,22107,48973,269856
332,clean2311.png,103383,15863,15918,210436
333,clean0838.png,59933,0,265,285402
334,clean2407.png,104677,127,1360,239436
335,clean5764.png,73084,0,0,272516
336,clean3661.png,36616,4745,304,303935
337,clean9744.png,41563,309,1505,302223
338,clean7061.png,152179,2185,6909,184327
339,clean4593.png,83437,12065,655,249443
340,clean4458.png,53266,2068,0,290266
341,clean9430.png,74199,27292,570,243539
342,clean9692.png,134847,1885,6564,202304
343,clean3048.png,79717,9817,19435,236631
344,clean4579.png,118516,3960,719,222405
345,clean8167.png,90024,7980,3692,243904
346,clean2171.png,115464,20841,27270,182025
347,clean0086.png,4871,17843,3755,319131
348,clean3135.png,68450,0,315,276835
349,clean5396.png,56753,2355,0,286492
350,clean5918.png,29898,6345,0,309357
351,clean1974.png,82129,4610,0,258861
352,clean1111.png,18449,22366,1922,302863
353,clean9145.png,118673,0,0,226927
354,clean9445.png,102667,737,0,242196
355,clean7187.png,104791,0,0,240809
356,clean9191.png,52736,3765,1937,287162
357,clean3914.png,99258,0,0,246342
358,clean5392.png,3720,21106,121438,199336
359,clean4673.png,166163,1988,735,176714
360,clean6094.png,24289,7208,7897,306206
361,clean6265.png,81014,6272,31564,226750
362,clean8192.png,113540,4678,9366,218016
363,clean3272.png,68122,0,748,276730
364,clean3885.png,57526,6658,10796,270620
365,clean5391.png,55125,9502,2223,278750
366,clean5581.png,4073,16568,0,324959
367,clean1780.png,18487,3814,6251,317048
368,clean3704.png,10394,578,5586,329042
369,clean4411.png,32321,20120,2375,290784
370,clean8712.png,22877,0,0,322723
371,clean3533.png,43115,14064,11924,276497
372,clean6247.png,80269,12877,3254,249200
373,clean0390.png,12576,0,0,333024
374,clean2843.png,65839,7014,0,272747
375,clean6702.png,35177,2455,0,307968
376,clean3147.png,101599,4800,17938,221263
377,clean8303.png,119116,0,0,226484
378,clean9604.png,56918,0,3144,285538
379,clean1223.png,45957,921,0,298722
380,clean1434.png,80574,13807,4089,247130
381,clean9384.png,80684,3721,0,261195
382,clean6340.png,61842,21375,16598,245785
383,clean2215.png,156191,15491,2869,171049
384,clean0418.png,137914,3434,7631,196621
385,clean8218.png,129240,1550,679,214131
386,clean6144.png,108960,8483,320,227837
387,clean4429.png,98725,4360,632,241883
388,clean6033.png,123016,2737,1195,218652
389,clean6689.png,120599,10837,10577,203587
390,clean2188.png,152413,8713,15199,169275
391,clean1723.png,80204,8795,3652,252949
392,clean1157.png,33335,3948,0,308317
393,clean0162.png,20793,14336,2975,307496
394,clean5943.png,71410,10852,19812,243526
395,clean1351.png,88339,6647,57270,193344
396,clean2360.png,132612,0,0,212988
397,clean4728.png,68515,2724,0,274361
398,clean2401.png,72924,12814,0,259862
399,clean9729.png,19751,17531,1232,307086
400,clean5727.png,86467,25764,7624,225745
401,clean4747.png,24599,3782,0,317219
402,clean0800.png,18171,31578,0,295851
403,clean4222.png,138260,3486,2384,201470
404,clean0108.png,83975,4568,0,257057
405,clean1570.png,123875,11601,7761,202363
406,clean2218.png,86587,1226,0,257787
407,clean7374.png,73635,8302,5849,257814
408,clean5991.png,94359,79,0,251162
409,clean9099.png,28115,15900,1000,300585
410,clean0867.png,21086,27260,8800,288454
411,clean8062.png,134553,4588,8887,197572
412,clean9304.png,4936,0,0,340664
413,clean4384.png,20728,1910,3929,319033
414,clean9202.png,113522,4092,5266,222720
415,clean9650.png,99755,11698,6836,227311
416,clean3183.png,41161,0,0,304439
417,clean4506.png,125379,1849,26842,191530
418,clean1544.png,56292,12881,10834,265593
419,clean3427.png,17109,2334,0,326157
420,clean8592.png,76235,21617,14011,233737
421,clean2567.png,36873,207,0,308520
422,clean6384.png,146786,4361,2654,191799
423,clean8843.png,112670,5656,1705,225569
424,clean4818.png,81150,2960,1973,259517
425,clean8863.png,19500,3884,282,321934
426,clean1168.png,10560,1929,1170,331941
427,clean7366.png,11744,8849,282,324725
428,clean8969.png,9267,13271,0,323062
429,clean9626.png,131106,13748,7529,193217
430,clean1236.png,18305,10769,18602,297924
431,clean5823.png,90369,4343,3523,247365
432,clean5795.png,60899,11358,0,273343
433,clean1755.png,54985,9170,234,281211
434,clean4688.png,155159,998,0,189443
435,clean5850.png,12305,0,590,332705
436,clean6846.png,164990,404,0,180206
437,clean5990.png,136389,6718,8099,194394
438,clean5311.png,85224,0,0,260376
439,clean6822.png,105978,0,1391,238231
440,clean3578.png,92253,11603,18215,223529
441,clean5748.png,88081,4765,525,252229
442,clean9278.png,31034,15149,15188,284229
443,clean6868.png,36470,7528,0,301602
444,clean9448.png,52038,10762,4305,278495
445,clean3127.png,11527,18059,0,316014
446,clean0835.png,122089,0,623,222888
447,clean8054.png,76337,3320,223,265720
448,clean4475.png,37520,19062,1823,287195
449,clean1906.png,30050,32557,4071,278922
450,clean5184.png,32178,3570,0,309852
451,clean0245.png,11851,9457,0,324292
452,clean8525.png,12468,3397,0,329735
453,clean0769.png,137511,7449,4926,195714
454,clean8149.png,90720,1427,0,253453
455,clean9335.png,33575,36548,226060,49417
456,clean8782.png,62012,8396,0,275192
457,clean6170.png,27790,642,3611,313557
458,clean5670.png,495,0,0,345105
459,clean4476.png,68401,9809,503,266887
460,clean0230.png,51157,11945,4161,278337
461,clean7064.png,89121,2388,0,254091
462,clean7691.png,17396,2897,0,325307
463,clean5287.png,90806,0,326,254468
464,clean6573.png,130808,15350,0,199442
465,clean8258.png,17842,0,0,327758
466,clean2883.png,64572,11323,1009,268696
467,clean1256.png,63110,10209,923,271358
468,clean8892.png,57253,4758,0,283589
469,clean6453.png,146690,298,1012,197600
470,clean4504.png,97451,8104,15722,224323
471,clean3776.png,43855,6075,3620,292050
472,clean4764.png,45496,37403,90649,172052
473,clean2876.png,26215,10998,12364,296023
474,clean9619.png,132255,11643,15240,186462
475,clean4190.png,2244,11513,223,331620
476,clean8376.png,64228,0,0,281372
477,clean9071.png,25378,2139,2410,315673
478,clean3205.png,39311,0,0,306289
479,clean3471.png,100971,1787,1567,241275
480,clean9500.png,81887,16859,0,246854
481,clean9256.png,0,10717,0,334883
482,clean9470.png,9255,1253,0,335092
483,clean0597.png,40379,13787,3126,288308
484,clean7235.png,102803,0,0,242797
485,clean7664.png,73356,17711,8233,246300
486,clean1147.png,106319,24553,39591,175137
487,clean5691.png,153957,9832,19406,162405
488,clean4569.png,44085,16359,0,285156
489,clean5878.png,58397,4373,0,282830
490,clean2801.png,4481,0,319,340800
491,clean3499.png,36594,19741,11656,277609
492,clean7830.png,30719,10017,0,304864
493,clean6121.png,108586,542,0,236472
494,clean6030.png,19688,0,446,325466
495,clean8180.png,5,25815,30971,288809
496,clean4696.png,100854,0,0,244746
497,clean7763.png,11341,9814,0,324445
498,clean7627.png,71969,6521,10100,257010
499,clean7106.png,76033,7448,14077,248042
500,clean0025.png,278,0,0,345322
501,clean9458.png,16398,1202,1708,326292
502,clean5208.png,12028,10484,2179,320909
503,clean4277.png,0,0,0,345600
504,clean2440.png,89819,2845,0,252936
505,clean3562.png,19897,0,0,325703
506,clean7554.png,135340,2291,9021,198948
507,clean4822.png,122203,891,0,222506
508,clean7211.png,3497,1489,0,340614
509,clean5827.png,83887,0,0,261713
510,clean1213.png,12966,7512,1210,323912
511,clean1103.png,131223,5611,14026,194740
512,clean1433.png,35752,18412,19161,272275
513,clean5953.png,123356,2998,0,219246
514,clean2096.png,132652,8834,1844,202270
515,clean2503.png,9735,18135,549,317181
516,clean9357.png,54300,5085,0,286215
517,clean3495.png,59004,7109,0,279487
518,clean8117.png,134322,0,649,210629
519,clean7546.png,15988,0,0,329612
520,clean0676.png,89838,18039,386,237337
521,clean8512.png,27941,11086,11385,295188
522,clean5200.png,20999,10063,18159,296379
523,clean6238.png,86387,905,905,257403
524,clean6823.png,3071,13348,1533,327648
525,clean6944.png,0,50688,4755,290157
526,clean1367.png,22916,1480,783,320421
527,clean7226.png,108643,0,0,236957
528,clean9271.png,139615,20044,1209,184732
529,clean3426.png,137164,5284,2873,200279
530,clean2029.png,57853,814,0,286933
531,clean4691.png,41399,10340,0,293861
532,clean9253.png,18084,10635,21474,295407
533,clean7388.png,20065,7365,0,318170
534,clean4811.png,43362,8203,714,293321
535,clean7710.png,56738,4703,0,284159
536,clean9634.png,128295,0,0,217305
537,clean8774.png,32299,8691,0,304610
538,clean5992.png,72734,6900,3280,262686
539,clean5771.png,67323,0,0,278277
540,clean9373.png,351,8749,4064,332436
541,clean8424.png,90253,6049,0,249298
542,clean5722.png,41060,27884,85342,191314
543,clean1662.png,83882,16799,822,244097
544,clean5712.png,16314,5869,239,323178
545,clean5473.png,32531,330,0,312739
546,clean5974.png,23989,22590,2561,296460
547,clean1332.png,94874,0,631,250095
548,clean2774.png,74731,4822,18342,247705
549,clean1096.png,49733,0,0,295867
550,clean9018.png,76637,16483,21542,230938
551,clean0215.png,83006,5576,23956,233062
552,clean6661.png,60574,2565,0,282461
553,clean7752.png,94168,4780,0,246652
554,clean1260.png,81679,835,0,263086
555,clean9307.png,45241,1118,0,299241
556,clean2717.png,32161,25872,48123,239444
557,clean3298.png,148354,2254,358,194634
558,clean8527.png,102879,7514,3124,232083
559,clean8466.png,14117,7631,248,323604
560,clean4839.png,65356,17371,3103,259770
561,clean2399.png,107519,3313,0,234768
562,clean7609.png,25490,437,0,319673
563,clean5937.png,15891,5196,207,324306
564,clean3653.png,317,14307,0,330976
565,clean2358.png,27,0,0,345573
566,clean0929.png,88794,2608,576,253622
567,clean1538.png,113557,5443,854,225746
568,clean6310.png,126164,0,1209,218227
569,clean5408.png,56989,9711,0,278900
570,clean9684.png,31563,1582,2601,309854
571,clean8101.png,34579,14799,5399,290823
572,clean1827.png,105462,2273,0,237865
573,clean7783.png,45040,1008,527,299025
574,clean2288.png,100755,2897,0,241948
575,clean0365.png,4118,20592,6858,314032
576,clean1095.png,69984,20986,62074,192556
577,clean6748.png,141366,5663,12455,186116
578,clean8176.png,76336,4419,0,264845
579,clean1060.png,66618,467,0,278515
580,clean1756.png,28538,0,594,316468
581,clean0557.png,98143,2314,0,245143
582,clean4552.png,45752,5420,1414,293014
583,clean6960.png,74820,10760,1683,258337
584,clean5879.png,92647,0,375,252578
585,clean4620.png,39267,10125,23660,272548
586,clean1892.png,104763,18234,26119,196484
587,clean2027.png,84802,950,0,259848
588,clean5315.png,108452,325,0,236823
589,clean4955.png,129708,0,0,215892
590,clean6237.png,80051,29214,31789,204546
591,clean4470.png,29046,0,966,315588
592,clean4417.png,107437,14653,21191,202319
593,clean8081.png,92215,5685,633,247067
594,clean8043.png,46781,9733,13480,275606
595,clean8085.png,28117,4242,0,313241
596,clean1413.png,142197,5947,478,196978
597,clean2480.png,57405,1928,1123,285144
598,clean4826.png,102866,3433,3050,236251
599,clean4555.png,28337,10599,4024,302640
600,clean8166.png,88105,0,0,257495
601,clean4375.png,132287,1160,1337,210816
602,clean6685.png,141814,9024,1335,193427
603,clean8460.png,4302,0,2769,338529
604,clean2341.png,68848,2312,2039,272401
605,clean2693.png,120588,10233,7807,206972
606,clean5405.png,33658,14166,19255,278521
607,clean2178.png,96749,11083,0,237768
608,clean5696.png,114958,4524,14784,211334
609,clean4693.png,153418,0,0,192182
610,clean0784.png,112252,9885,6700,216763
611,clean3512.png,40825,0,0,304775
612,clean9589.png,85661,4479,0,255460
613,clean9754.png,107687,9957,10565,217391
614,clean9163.png,39843,25643,27307,252807
615,clean1681.png,57719,0,234,287647
616,clean4497.png,154374,0,0,191226
617,clean7519.png,4796,3343,0,337461
618,clean6815.png,116357,8380,1499,219364
619,clean3488.png,34740,10925,9819,290116
620,clean0782.png,27168,2561,0,315871
621,clean8295.png,93356,3482,847,247915
622,clean6494.png,149139,0,0,196461
623,clean3259.png,55436,15814,66186,208164
624,clean8450.png,89310,4958,15864,235468
625,clean6844.png,19783,4480,766,320571
626,clean3247.png,7296,21784,0,316520
627,clean9482.png,71064,0,0,274536
628,clean3888.png,143860,2732,0,199008
629,clean8422.png,55511,21651,18457,249981
630,clean7071.png,73898,8079,34151,229472
631,clean0909.png,54626,29187,30559,231228
632,clean2654.png,90105,383,932,254180
633,clean2141.png,140472,4193,5175,195760
634,clean4123.png,108829,7146,4760,224865
635,clean8264.png,2622,0,0,342978
636,clean8214.png,140671,3494,733,200702
637,clean6031.png,143287,0,425,201888
638,clean8374.png,26519,12215,0,306866
639,clean1046.png,102058,0,0,243542
640,clean9463.png,19499,8130,4024,313947
641,clean0934.png,117681,0,1513,226406
642,clean0244.png,73068,9938,284,262310
643,clean6179.png,105628,0,387,239585
644,clean4486.png,132855,10134,56752,145859
645,clean6608.png,32068,279,0,313253
646,clean0725.png,63841,12777,3984,264998
647,clean8618.png,40435,15195,276,289694
648,clean3330.png,42469,6027,0,297104
649,clean0431.png,5227,11474,0,328899
650,clean2852.png,72850,0,1292,271458
651,clean8816.png,30211,12533,0,302856
652,clean5214.png,69723,1372,0,274505
653,clean5654.png,30871,16518,4113,294098
654,clean5209.png,83530,18295,34181,209594
655,clean7829.png,87714,17952,7322,232612
656,clean4697.png,2860,6731,467,335542
657,clean5789.png,1039,3846,0,340715
658,clean1995.png,109725,0,967,234908
659,clean7056.png,69637,7233,1490,267240
660,clean8962.png,16949,0,296,328355
661,clean0372.png,148308,7138,1601,188553
662,clean9455.png,16548,0,0,329052
663,clean0720.png,71442,754,948,272456
664,clean2741.png,56898,0,0,288702
665,clean3827.png,38643,27249,6473,273235
666,clean3303.png,24676,0,0,320924
667,clean4570.png,91675,5771,2031,246123
668,clean4877.png,71921,0,1150,272529
669,clean5599.png,133023,0,0,212577
670,clean8498.png,1111,0,0,344489
671,clean0121.png,9342,0,0,336258
672,clean4741.png,99353,0,0,246247
673,clean6232.png,28410,0,1221,315969
674,clean2331.png,7396,58973,770,278461
675,clean3931.png,95345,4523,936,244796
676,clean9564.png,15575,28441,9495,292089
677,clean0886.png,19013,278,0,326309
678,clean0445.png,45779,0,0,299821
679,clean2293.png,123839,17523,34879,169359
680,clean3056.png,3394,20427,189094,132685
681,clean3433.png,75098,10593,0,259909
682,clean7756.png,113956,9435,12219,209990
683,clean3359.png,155305,306,0,189989
684,clean5104.png,113232,6476,444,225448
685,clean0644.png,80161,19226,45839,200374
686,clean9499.png,44230,13746,1659,285965
687,clean2366.png,66309,11186,12986,255119
688,clean6111.png,135624,0,405,209571
689,clean4793.png,139790,3021,0,202789
